"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"d:\Projects\Job_Portal\backend\README.md", "Markdown", 0, 0, 1, 0, 1, 2
"d:\Projects\Job_Portal\backend\controllers\application.controller.js", "JavaScript", 116, 0, 0, 6, 8, 130
"d:\Projects\Job_Portal\backend\controllers\company.controller.js", "JavaScript", 91, 0, 0, 2, 7, 100
"d:\Projects\Job_Portal\backend\controllers\job.controller.js", "JavaScript", 96, 0, 0, 4, 3, 103
"d:\Projects\Job_Portal\backend\controllers\user.controller.js", "JavaScript", 146, 0, 0, 5, 31, 182
"d:\Projects\Job_Portal\backend\index.js", "JavaScript", 29, 0, 0, 4, 7, 40
"d:\Projects\Job_Portal\backend\jayant-507df-57bdf41de874.json", "JSON", 0, 13, 0, 0, 1, 14
"d:\Projects\Job_Portal\backend\middlewares\isAuthenticated.js", "JavaScript", 24, 0, 0, 0, 1, 25
"d:\Projects\Job_Portal\backend\middlewares\mutler.js", "JavaScript", 3, 0, 0, 0, 1, 4
"d:\Projects\Job_Portal\backend\models\application.model.js", "JavaScript", 19, 0, 0, 0, 1, 20
"d:\Projects\Job_Portal\backend\models\company.model.js", "JavaScript", 26, 0, 0, 0, 1, 27
"d:\Projects\Job_Portal\backend\models\job.model.js", "JavaScript", 51, 0, 0, 0, 1, 52
"d:\Projects\Job_Portal\backend\models\user.model.js", "JavaScript", 57, 0, 0, 0, 2, 59
"d:\Projects\Job_Portal\backend\package-lock.json", "JSON", 0, 3337, 0, 0, 1, 3338
"d:\Projects\Job_Portal\backend\package.json", "JSON", 0, 39, 0, 0, 1, 40
"d:\Projects\Job_Portal\backend\routes\application.route.js", "JavaScript", 9, 0, 0, 0, 6, 15
"d:\Projects\Job_Portal\backend\routes\chatbot.route.js", "JavaScript", 20, 0, 0, 0, 6, 26
"d:\Projects\Job_Portal\backend\routes\company.route.js", "JavaScript", 10, 0, 0, 0, 5, 15
"d:\Projects\Job_Portal\backend\routes\job.route.js", "JavaScript", 9, 0, 0, 0, 5, 14
"d:\Projects\Job_Portal\backend\routes\user.route.js", "JavaScript", 11, 0, 0, 0, 6, 17
"d:\Projects\Job_Portal\backend\utils\cloudinary.js", "JavaScript", 9, 0, 0, 0, 1, 10
"d:\Projects\Job_Portal\backend\utils\datauri.js", "JavaScript", 8, 0, 0, 0, 3, 11
"d:\Projects\Job_Portal\backend\utils\db.js", "JavaScript", 11, 0, 0, 0, 1, 12
"Total", "-", 745, 3389, 1, 21, 100, 4256
